,Week,Day,Date,Time,Outcome,OT,Rec,Home,Opp,Score_Tm,Score_Opp,Offense_1stD,Offense_TotYd,Offense_PassY,Offense_RushY,Offense_TO,Defense_1stD,Defense_TotYd,Defense_PassY,Defense_RushY,Defense_TO,Year,Expected Points_Offense,Expected Points_Defense,Expected Points_Sp. Tms
143,6,Sun,October 22,,L,False,1-4,False,Boston Redskins,0.0,10.0,,,,,,,,,,,1933,,,
144,7,Sun,October 29,,L,False,1-5,False,Brooklyn Dodgers,0.0,7.0,,,,,,,,,,,1933,,,
145,8,Sun,November 5,,L,False,1-6,True,Green Bay Packers,6.0,14.0,,,,,,,,,,,1933,,,
146,9,Sun,November 12,,L,False,1-7,True,Cincinnati Reds,9.0,12.0,,,,,,,,,,,1933,,,
147,10,Sun,November 19,,L,False,1-8,True,Brooklyn Dodgers,0.0,3.0,,,,,,,,,,,1933,,,
148,12,Thu,November 30,,L,False,1-9,True,Chicago Bears,6.0,22.0,,,,,,,,,,,1933,,,
149,12,Sun,December 3,,T,False,1-9-1,True,Boston Redskins,0.0,0.0,,,,,,,,,,,1933,,,
150,3,Sun,September 23,,W,False,1-0,False,Cincinnati Reds,9.0,0.0,,,,,,,,,,,1934,,,
151,4,Sun,September 30,,L,False,1-1,False,Detroit Lions,0.0,6.0,,,,,,,,,,,1934,,,
152,5,Sun,October 7,,W,False,2-1,False,Cincinnati Reds,16.0,0.0,,,,,,,,,,,1934,,,
153,6,Sun,October 14,,L,False,2-2,True,Chicago Bears,0.0,20.0,,,,,,,,,,,1934,,,
154,7,Sun,October 21,,L,False,2-3,False,Green Bay Packers,0.0,15.0,,,,,,,,,,,1934,,,
155,8,Sun,October 28,,L,False,2-4,False,Boston Redskins,0.0,9.0,,,,,,,,,,,1934,,,
156,9,Tue,November 6,,W,False,3-4,False,Brooklyn Dodgers,21.0,0.0,,,,,,,,,,,1934,,,
157,10,Sun,November 11,,L,False,3-5,True,Detroit Lions,13.0,17.0,,,,,,,,,,,1934,,,
158,11,Sun,November 18,,W,False,4-5,False,Green Bay Packers,9.0,0.0,,,,,,,,,,,1934,,,
159,12,Sun,November 25,,L,False,4-6,False,Chicago Bears,6.0,17.0,,,,,,,,,,,1934,,,
160,13,Thu,November 29,,W,False,5-6,True,Green Bay Packers,6.0,0.0,,,,,,,,,,,1934,,,
161,1,Sun,September 15,,W,False,1-0,False,Green Bay Packers,7.0,6.0,,,,,,,,,,,1935,,,
162,3,Sun,September 29,,T,False,1-0-1,False,Detroit Lions,10.0,10.0,,,,,,,,,,,1935,,,
163,5,Sun,October 13,,W,False,2-0-1,True,Green Bay Packers,3.0,0.0,,,,,,,,,,,1935,,,
164,6,Sun,October 20,,L,False,2-1-1,False,Pittsburgh Pirates,13.0,17.0,,,,,,,,,,,1935,,,
165,7,Sun,October 27,,W,False,3-1-1,False,New York Giants,14.0,13.0,13.0,251.0,156.0,95.0,3.0,5.0,141.0,70.0,71.0,3.0,1935,,,
166,8,Sun,November 3,,L,False,3-2-1,True,Detroit Lions,6.0,7.0,,,,,,,,,,,1935,,,
167,9,Sun,November 10,,W,False,4-2-1,True,Philadelphia Eagles,12.0,3.0,,,,,,,,,,,1935,,,
168,10,Tue,November 19,,L,False,4-3-1,False,Brooklyn Dodgers,12.0,14.0,9.0,288.0,51.0,237.0,1.0,8.0,148.0,63.0,85.0,3.0,1935,,,
169,11,Sun,November 24,,W,False,5-3-1,False,Boston Redskins,6.0,0.0,,,,,,,,,,,1935,,,
170,12,Thu,November 28,,W,False,6-3-1,True,Green Bay Packers,9.0,7.0,,,,,,,,,,,1935,,,
171,12,Sun,December 1,,T,False,6-3-2,False,Chicago Bears,7.0,7.0,,,,,,,,,,,1935,,,
172,13,Sun,December 8,,L,False,6-4-2,True,Chicago Bears,0.0,13.0,,,,,,,,,,,1935,,,
173,1,Sun,September 13,,L,False,0-1,False,Green Bay Packers,7.0,10.0,,,,,,,,,,,1936,,,
174,3,Mon,September 28,,L,False,0-2,False,Detroit Lions,0.0,39.0,,,,,,,,,,,1936,,,
175,4,Sun,October 4,,L,False,0-3,False,Green Bay Packers,0.0,24.0,,,,,,,,,,,1936,,,
176,5,Sun,October 11,,L,False,0-4,False,Chicago Bears,3.0,7.0,,,,,,,,,,,1936,,,
177,6,Sun,October 18,,L,False,0-5,False,New York Giants,6.0,14.0,13.0,298.0,123.0,175.0,3.0,14.0,258.0,95.0,163.0,1.0,1936,,,
178,7,Sun,October 25,,L,False,0-6,False,Brooklyn Dodgers,0.0,9.0,11.0,192.0,88.0,104.0,5.0,9.0,128.0,10.0,118.0,1.0,1936,,,
179,8,Sun,November 1,,L,False,0-7,False,Boston Redskins,10.0,13.0,,,,,,,,,,,1936,,,
180,9,Sun,November 8,,W,False,1-7,True,Philadelphia Eagles,13.0,0.0,,,,,,,,,,,1936,,,
181,10,Sun,November 15,,W,False,2-7,True,Pittsburgh Pirates,14.0,6.0,,,,,,,,,,,1936,,,
182,11,Sun,November 22,,L,False,2-8,True,Detroit Lions,7.0,14.0,,,,,,,,,,,1936,,,
183,12,Sun,November 29,,W,False,3-8,True,Chicago Bears,14.0,7.0,,,,,,,,,,,1936,,,
184,13,Sun,December 6,,T,False,3-8-1,True,Green Bay Packers,0.0,0.0,,,,,,,,,,,1936,,,
185,2,Sun,September 12,,W,False,1-0,False,Green Bay Packers,14.0,7.0,,,,,,,,,,,1937,,,
186,3,Sun,September 19,,L,False,1-1,False,Detroit Lions,7.0,16.0,,,,,,,,,,,1937,,,
187,4,Fri,September 24,,W,False,2-1,False,Washington Redskins,21.0,14.0,,,,,,,,,,,1937,,,
188,4,Sun,September 26,,T,False,2-1-1,False,Philadelphia Eagles,6.0,6.0,,,,,,,,,,,1937,,,
189,5,Sun,October 3,,W,False,3-1-1,False,Cleveland Rams,6.0,0.0,,,,,,,,,,,1937,,,
190,6,Sun,October 10,,L,False,3-2-1,False,Green Bay Packers,13.0,34.0,,,,,,,,,,,1937,,,
191,7,Sun,October 17,,L,False,3-3-1,False,Chicago Bears,7.0,16.0,,,,,,,,,,,1937,,,
192,8,Sun,October 24,,W,False,4-3-1,False,Pittsburgh Pirates,13.0,7.0,,,,,,,,,,,1937,,,
193,9,Sun,October 31,,W,False,5-3-1,True,Cleveland Rams,13.0,7.0,,,,,,,,,,,1937,,,
194,12,Sun,November 21,,L,False,5-4-1,True,Detroit Lions,7.0,16.0,,,,,,,,,,,1937,,,
195,14,Sun,December 5,,L,False,5-5-1,True,Chicago Bears,28.0,42.0,,,,,,,,,,,1937,,,
196,1,Sun,September 11,,L,False,0-1,False,Chicago Bears,13.0,16.0,,,,,,,,,,,1938,,,
197,2,Sat,September 17,,W,False,1-1,False,Cleveland Rams,7.0,6.0,,157.0,,157.0,,15.0,307.0,,307.0,,1938,,,
198,3,Sun,September 25,,L,False,1-2,False,Green Bay Packers,7.0,28.0,,,,,,,,,,,1938,,,
199,3,Wed,September 28,,L,False,1-3,True,Green Bay Packers,22.0,24.0,,,,,,,,,,,1938,,,
200,4,Sun,October 2,,L,False,1-4,False,Brooklyn Dodgers,0.0,13.0,15.0,268.0,143.0,125.0,5.0,8.0,181.0,25.0,156.0,,1938,,,
201,6,Sun,October 16,,L,False,1-5,True,Chicago Bears,28.0,34.0,,,,,,,,,,,1938,,,
202,7,Sun,October 23,,L,False,1-6,False,Detroit Lions,0.0,10.0,,,,,,,,,,,1938,,,
203,7,Wed,October 26,,L,False,1-7,False,Philadelphia Eagles,0.0,7.0,,152.0,51.0,101.0,,,146.0,30.0,116.0,,1938,,,
204,9,Sun,November 6,,L,False,1-8,False,New York Giants,0.0,6.0,10.0,182.0,53.0,129.0,4.0,12.0,206.0,82.0,124.0,5.0,1938,,,
205,11,Sun,November 20,,L,False,1-9,True,Detroit Lions,3.0,7.0,,,,,,,,,,,1938,,,
206,12,Sun,November 27,,W,False,2-9,True,Cleveland Rams,31.0,17.0,,,,,,,,,,,1938,,,
207,1,Sun,September 10,,L,False,0-1,False,Detroit Lions,13.0,21.0,6.0,155.0,106.0,49.0,1.0,9.0,204.0,6.0,198.0,,1939,,,
208,2,Sun,September 17,,L,False,0-2,False,Green Bay Packers,10.0,14.0,11.0,182.0,85.0,97.0,5.0,12.0,268.0,174.0,94.0,1.0,1939,,,
209,3,Sun,September 24,,W,False,1-2,False,Pittsburgh Pirates,10.0,0.0,5.0,195.0,,195.0,,9.0,287.0,,287.0,,1939,,,
210,4,Sun,October 1,,L,False,1-3,True,Detroit Lions,3.0,17.0,,,,,,,,,,,1939,,,
211,5,Sun,October 8,,L,False,1-4,False,Green Bay Packers,20.0,27.0,12.0,298.0,262.0,36.0,2.0,12.0,440.0,201.0,239.0,2.0,1939,,,
212,6,Sun,October 15,,L,False,1-5,False,Chicago Bears,7.0,44.0,13.0,296.0,162.0,134.0,8.0,13.0,408.0,196.0,212.0,5.0,1939,,,
213,7,Sun,October 22,,L,False,1-6,True,Cleveland Rams,0.0,24.0,4.0,68.0,39.0,29.0,5.0,16.0,301.0,104.0,197.0,1.0,1939,,,
214,9,Sun,November 5,,L,False,1-7,False,Cleveland Rams,0.0,14.0,10.0,172.0,55.0,117.0,2.0,5.0,196.0,107.0,89.0,2.0,1939,,,
215,10,Sun,November 12,,L,False,1-8,False,New York Giants,7.0,17.0,13.0,277.0,166.0,111.0,3.0,9.0,189.0,76.0,113.0,,1939,,,
216,11,Sun,November 19,,L,False,1-9,False,Washington Redskins,7.0,28.0,10.0,128.0,56.0,72.0,5.0,9.0,314.0,274.0,40.0,3.0,1939,,,
217,12,Sun,November 26,,L,False,1-10,True,Chicago Bears,7.0,48.0,19.0,144.0,116.0,28.0,8.0,15.0,412.0,248.0,164.0,3.0,1939,,,
218,1,Sun,September 8,,T,False,0-0-1,False,Pittsburgh Steelers,7.0,7.0,9.0,192.0,128.0,64.0,4.0,3.0,129.0,64.0,65.0,3.0,1940,,,
219,2,Sun,September 15,,T,False,0-0-2,True,Detroit Lions,0.0,0.0,2.0,14.0,,14.0,2.0,5.0,16.0,26.0,-10.0,5.0,1940,,,
220,3,Wed,September 25,,W,False,1-0-2,True,Chicago Bears,21.0,7.0,12.0,256.0,83.0,173.0,2.0,17.0,256.0,121.0,135.0,3.0,1940,,,
221,4,Sun,September 29,,L,False,1-1-2,False,Green Bay Packers,6.0,31.0,14.0,224.0,87.0,137.0,6.0,13.0,332.0,177.0,155.0,3.0,1940,,,
222,5,Sat,October 5,,L,False,1-2-2,False,Detroit Lions,14.0,43.0,9.0,145.0,25.0,120.0,10.0,9.0,243.0,49.0,194.0,5.0,1940,,,
223,6,Sun,October 13,,L,False,1-3-2,False,Washington Redskins,21.0,28.0,5.0,209.0,127.0,82.0,2.0,20.0,440.0,325.0,115.0,5.0,1940,,,
